skilled_worker.n.01,10
arrangement.n.02,10
language_unit.n.01,10
cut.n.06,10
narcotic.n.01,10
flavorer.n.01,10
system.n.01,10
layer.n.02,10
thinking.n.01,10
feline.n.01,10
polygon.n.01,10
body.n.02,9
music.n.01,9
shrub.n.01,9
plaything.n.01,9
negotiator.n.01,9
oscine.n.01,9
synovial_joint.n.01,9
written_symbol.n.01,9
memory_device.n.01,9
motion.n.03,9
capitalist.n.02,9
baked_goods.n.01,9
perception.n.03,9
alcohol.n.01,9
woman.n.01,9
outdoor_game.n.01,9
establishment.n.04,9
change_of_integrity.n.01,9
rodent.n.01,9
preserver.n.03,9
digit.n.01,9
datum.n.01,9
dish.n.02,8
toiletry.n.01,8
small_indefinite_quantity.n.01,8
change_of_location.n.01,8
representative.n.01,8
social_gathering.n.01,8
piece.n.01,8
currency.n.01,8
connection.n.03,8
appearance.n.01,8
supporting_structure.n.01,8
employee.n.01,8
locomotion.n.02,8
belief.n.01,8
fastener.n.02,8
headdress.n.01,8
course.n.07,8
sensation.n.01,8
biological_group.n.01,8
wrongdoing.n.02,8
progenitor.n.01,8
building.n.01,8
energy.n.01,8
fur.n.01,8
defender.n.01,8
spiny-finned_fish.n.01,8
aircraft.n.01,8
structure.n.03,8
reading.n.03,8
bird.n.02,7
curve.n.01,7
ball.n.01,7
weather.n.01,7
waste.n.01,7
agent.n.02,7
transferred_property.n.01,7
fabric.n.01,7
control.n.09,7
people.n.01,7
sense.n.03,7
contestant.n.01,7
natural_elevation.n.01,7
magnitude.n.01,7
horizontal_surface.n.01,7
compartment.n.02,7
matter.n.06,7
taxonomic_group.n.01,7
transgression.n.01,7
scientific_instrument.n.01,7
man.n.01,7
religious.n.01,7
offspring.n.01,7
award.n.02,7
genitor.n.01,7
field_game.n.01,7
placement.n.01,7
obstruction.n.01,7
mark.n.04,7
coding_system.n.01,7
radiation.n.01,7
cooking_utensil.n.01,7
hand_tool.n.01,7
bovine.n.01,7
aquatic_mammal.n.01,7
entertainer.n.01,7
time_unit.n.01,7
spot.n.13,7
psychological_state.n.01,7
celestial_body.n.01,7
clock_time.n.01,7
weapon.n.01,6
cake.n.03,6
child.n.02,6
parent.n.01,6
big_cat.n.01,6
hour.n.02,6
care.n.01,6
simpleton.n.01,6
party.n.02,6
club_drug.n.01,6
young.n.01,6
amerindian.n.01,6
poultry.n.02,6
representational_process.n.01,6
waterfowl.n.01,6
administrative_unit.n.01,6
convex_shape.n.01,6
surface.n.02,6
enclosure.n.01,6
adornment.n.01,6
gland.n.01,6
area.n.01,6
linear_unit.n.01,6
domestic_animal.n.01,6
internal_organ.n.01,6
passage.n.07,6
stroke.n.12,6
footwear.n.02,6
undergarment.n.01,6
text.n.01,6
magnifier.n.01,6
record.n.01,6
drupe.n.01,6
product.n.02,6
ending.n.04,6
citrus.n.02,6
citrus.n.01,6
coloring_material.n.01,6
abstraction.n.01,6
social_event.n.01,6
spacing.n.02,6
code.n.03,6
concave_shape.n.01,6
cutting_implement.n.01,6
electromagnetic_radiation.n.01,6
performer.n.01,6
reasoning.n.01,6
arrangement.n.03,6
cognitive_state.n.01,6
speech.n.02,6
motor.n.01,6
coating.n.01,5
dessert.n.01,5
dainty.n.01,5
seat.n.03,5
table.n.02,5
game.n.04,5
horse.n.01,5
argumentation.n.02,5
line.n.18,5
occupation.n.01,5
boat.n.01,5
car.n.01,5
ship.n.01,5
contact.n.04,5
discharge.n.04,5
formulation.n.01,5
spiritual_leader.n.01,5
indian.n.01,5
symbol.n.02,5
anseriform_bird.n.01,5
bird_of_prey.n.01,5
seabird.n.01,5
limb.n.01,5
intellectual.n.01,5
pathological_state.n.01,5
junction.n.04,5
sensitivity.n.01,5
tube.n.01,5
visual_communication.n.01,5
vertebrate_foot.n.01,5
military_unit.n.01,5
writing_style.n.01,5
aid.n.02,5
component.n.03,5
being.n.01,5
blow.n.01,5
woman's_clothing.n.01,5
emotion.n.01,5
practice.n.01,5
noise.n.01,5
assets.n.01,5
businessperson.n.01,5
structural_member.n.01,5
notation.n.01,5
seed.n.01,5
fuel.n.01,5
hard_drug.n.01,5
genus.n.02,5
team.n.01,5
electromagnetic_unit.n.01,5
document.n.03,5
transducer.n.01,5
medium.n.01,5
written_record.n.01,5
representation.n.10,5
wood.n.01,5
gourd.n.03,5
right.n.01,5
white_goods.n.01,5
plan.n.01,5
distance.n.01,5
barrier.n.01,5
knowledge_domain.n.01,5
mixed_drink.n.01,5
