category,best_overall_threshold,ba_mean,ba_std,n
ACTION_VERB,0.3,0.625,0.0,4
ANIMAL,0.3,0.66666667,0.0,3
NAME,0.3,0.6547619,0.02061965,3
PRON,0.3,0.79326923,0.11363524,4
PUNCT,0.3,0.98809524,0.02061965,3
