category,best_overall_threshold,ba_mean,ba_std,n
.,0.56,1.0,,1
A1,0.56,0.95,0.02,3
A2,0.56,0.84,0.12,3
B1,0.56,0.88,0.0,3
B2,0.56,0.88,0.0,3
y,0.56,1.0,0.0,3
